Ticker,Name,GICS Sector,GICS Industry,Quote Page PVs for last 90 days,Last covered,Current Payment,Pending Review
SMOPF,Smartoptics Group ASA,Information Technology,Communications Equipment,801,,$65,False
MWC,"Micware Co., Ltd.",Information Technology,Software,801,03/09/2026,$65,False
SANG,Sangoma Technologies Corporation,Information Technology,Communications Equipment,801,02/03/2026,$65,False
CNXN,"PC Connection, Inc.",Information Technology,"Electronic Equipment, Instruments & Components",801,08/30/2024,$65,False
ENSIF,EnSilica plc,Information Technology,Semiconductors & Semiconductor Equipment,202,,$65,False
NYNOF,Nynomic AG,Information Technology,"Electronic Equipment, Instruments & Components",106,,$65,False
CNTPF,Canatu Oyj,Information Technology,Semiconductors & Semiconductor Equipment,64,,$65,False
RSTCF,"RS Technologies Co., Ltd.",Information Technology,Semiconductors & Semiconductor Equipment,20,,$65,False
RMTHF,Matrix IT Ltd.,Information Technology,IT Services,0,,$65,False
HQWWW,Horizon Quantum Holdings Ltd. WT EXP 031931,Information Technology,Software,0,,$65,False
RGAKF,Rigaku Holdings Corporation,Information Technology,"Electronic Equipment, Instruments & Components",0,,$65,False
ACT:CA,Aduro Clean Technologies Inc.,Information Technology,Software,0,,$65,False
